          19
 0.20000000000000000416E-002     0.11285563202955481317E-014    -0.51812991530705765416E-014     0.16793926938562733379E-013    -0.44350727371322700463E-013     0.10115773893957857298E-012    -0.20566755716015870660E-012     0.38012505343510073088E-012    -0.64715141591982075476E-012     0.10242810844777152672E-011    -0.15171571530595211038E-011     0.21127759716316925851E-011    -0.27745955805766414430E-011     0.34412550091394335291E-011    -0.40299643048431982083E-011     0.44443125912173310447E-011    -0.45842766109605247856E-011     0.43527909316151719747E-011    -0.36419372412920541694E-011     0.21850016941680740127E-011
 0.17631656082071324454E-001     0.22528574466205642101E-014    -0.10309276772982933887E-013     0.33311466089807232396E-013    -0.87713826285505300849E-013     0.19951108903604758563E-012    -0.40458522051240867576E-012     0.74597374714253279110E-012    -0.12671648144458153412E-011     0.20014953052493439220E-011    -0.29590546493030202174E-011     0.41137914614824757775E-011    -0.53942977916927516174E-011     0.66815775432298224292E-011    -0.78157610607324899360E-011     0.86112060580505302228E-011    -0.88756718602842623823E-011     0.84226988130160009287E-011    -0.70445161049314942284E-011     0.42255969974247306555E-011
 0.33263312164142654070E-001     0.44521757725915229228E-014    -0.20306029813958227108E-013     0.65406752315149086085E-013    -0.17171321028164590841E-012     0.38948009481225038435E-012    -0.78774836124222524328E-012     0.14488982121505347642E-011    -0.24556285943676158427E-011     0.38706025995010557746E-011    -0.57115152709522558725E-011     0.79267573716449184194E-011    -0.10378255255533263079E-010     0.12837673682680930845E-010    -0.14999566966769245482E-010     0.16510271586457881872E-010    -0.17004241938593377026E-010     0.16127104860230134605E-010    -0.13483074037420103693E-010     0.80861556980102254080E-011
 0.48894968246213976748E-001     0.87113996167326757699E-014    -0.39598403919003605547E-013     0.12714139112429651861E-012    -0.33277870494110818497E-012     0.75266422992956999766E-012    -0.15182574458145553387E-011     0.27855843974584019888E-011    -0.47102196813602594952E-011     0.74086217448280833009E-011    -0.10911177483544182523E-010     0.15116772197958249733E-010    -0.19761208653256629049E-010     0.24410919810307349623E-010    -0.28488442272444790448E-010     0.31327109425748770777E-010    -0.32239168590776724369E-010     0.30558219279477899641E-010    -0.25538211376069685567E-010     0.15312940039518489927E-010
 0.64526624328285306365E-001     0.16878311452884519661E-013    -0.76459980153375297966E-013     0.24470029172251082347E-012    -0.63851450415153300513E-012     0.14399982508892812807E-011    -0.28968786392719526358E-011     0.53015773776807637373E-011    -0.89436431964573323296E-011     0.14037078076258455035E-010    -0.20632847808967940022E-010     0.28535000819616483559E-010    -0.37243223839761472116E-010     0.45942765171219405923E-010    -0.53553237121909251429E-010     0.58831058765519902759E-010    -0.60495790381153307790E-010     0.57307349871395117498E-010    -0.47874024203371292535E-010     0.28699979591052144598E-010
 0.80158280410356635981E-001     0.32384956791953688732E-013    -0.14619817928584820852E-012     0.46635026604484099159E-012    -0.12130986203275384021E-011     0.27278070478575090944E-011    -0.54725295937075478986E-011     0.99896403959816842774E-011    -0.16812329688875928450E-010     0.26329431059798245791E-010    -0.38624132434805652544E-010     0.53320781121565165585E-010    -0.69481611389024575076E-010     0.85591242175738765146E-010    -0.99649162564839499948E-010     0.10935960798829998664E-009    -0.11236338800222477128E-009     0.10637675771341152949E-009    -0.88830217006877342184E-010     0.53242019058185290641E-010
 0.95789936492427951720E-001     0.61542936827785571483E-013    -0.27685216965885093181E-012     0.88017025730991252397E-012    -0.22823259636179375479E-011     0.51168427108094853539E-011    -0.10236800809633573029E-010     0.18637841227704085712E-010    -0.31291484614932561785E-010     0.48896311297368189608E-010    -0.71583745595766519192E-010     0.98641292846287247949E-010    -0.12832904274719267441E-009     0.15785710507378447266E-009    -0.18355900243465587223E-009     0.20123995805867079274E-009    -0.20659783742882325205E-009     0.19547001466814993733E-009    -0.16316071823116769017E-009     0.97773261570170352762E-010
 0.11142159257449928134E+000     0.11584584358666399436E-012    -0.51927623161286191041E-012     0.16452951683094642297E-011    -0.42526634184074021574E-011     0.95054437839363137683E-011    -0.18962845408756400975E-010     0.34433947108870411702E-010    -0.57670455802738127181E-010     0.89913390066546507448E-010    -0.13136198771551264110E-009     0.18067907867997908004E-009    -0.23466885721970711460E-009     0.28824666927079119240E-009    -0.33476064466209182786E-009     0.36662399391648312930E-009    -0.37607136039298501419E-009     0.35559257573622461127E-009    -0.29669258700217017212E-009     0.17775442382341144203E-009
 0.12705324865657061095E+000     0.21602115901530382281E-012    -0.96480452421514542326E-012     0.30464148300803802488E-011    -0.78485808163536762777E-011     0.17489171911540487230E-010    -0.34789653212175837220E-010     0.63003882775105515925E-010    -0.10525750086936308671E-009     0.16373046004628178304E-009    -0.23870828436625935498E-009     0.32770753935464392257E-009    -0.42491663445558003642E-009     0.52116102886132077219E-009    -0.60449357362929653314E-009     0.66133071059353020248E-009    -0.67779741479356367715E-009     0.64048045006399429423E-009    -0.53416499718110845776E-009     0.31996087038849126589E-009
 0.14268490473864192669E+000     0.39909056167023504424E-012    -0.17758893056509096171E-011     0.55878818800438926049E-011    -0.14348697987524468965E-010     0.31874006829092325019E-010    -0.63219010184784755552E-010     0.11417746705166843308E-009    -0.19026902693562546351E-009     0.29527998159806346944E-009    -0.42958590389528046007E-009     0.58862191231824843243E-009    -0.76192370784299986504E-009     0.93310069554643686502E-009    -0.10809082610589972002E-008     0.11812688016392765794E-008    -0.12096386879612495244E-008     0.11423010478867350997E-008    -0.95227543261237312259E-009     0.57028270607286470405E-009
